"BlockGroup","TractFIPS","NAME","TotHH","TotPerson","Age18to34","Age35to49","Age50to64","Age65plus","AgeUnder18","Adult18plus","CompMOS"
"261635238003","26163523800","Block Group 3; Census Tract 5238; Wayne County; Michigan",201,587,149,124,95,40,179,408,1.84655774321543
"261635238004","26163523800","Block Group 4; Census Tract 5238; Wayne County; Michigan",383,1050,326,193,147,71,313,737,3.32527778626912
"261635173002","26163517300","Block Group 2; Census Tract 5173; Wayne County; Michigan",935,1170,495,281,188,94,112,1058,4.77999178478258
"261635172001","26163517200","Block Group 1; Census Tract 5172; Wayne County; Michigan",295,968,285,253,278,73,79,889,4.00305637473596
"261635172002","26163517200","Block Group 2; Census Tract 5172; Wayne County; Michigan",646,790,387,164,139,71,29,761,3.41912558842092
"261635173001","26163517300","Block Group 1; Census Tract 5173; Wayne County; Michigan",398,961,204,147,114,160,336,625,2.80960392961133
"261635175001","26163517500","Block Group 1; Census Tract 5175; Wayne County; Michigan",921,1464,324,166,331,425,218,1246,5.51719125589585
"261635175002","26163517500","Block Group 2; Census Tract 5175; Wayne County; Michigan",1205,1392,456,178,324,324,110,1282,5.68792490210723
"261635180001","26163518000","Block Group 1; Census Tract 5180; Wayne County; Michigan",397,441,197,79,91,56,18,423,1.89150535047304
"261635180002","26163518000","Block Group 2; Census Tract 5180; Wayne County; Michigan",1129,1839,681,308,310,294,246,1593,7.13066980930948
"261635207004","26163520700","Block Group 4; Census Tract 5207; Wayne County; Michigan",661,402,272,39,56,20,15,387,1.72091449226119
"261635208001","26163520800","Block Group 1; Census Tract 5208; Wayne County; Michigan",1079,1242,399,233,293,260,57,1185,5.2931381120244
"261635211001","26163521100","Block Group 1; Census Tract 5211; Wayne County; Michigan",505,843,260,182,139,86,176,667,3.01092771981518
"261635189001","26163518900","Block Group 1; Census Tract 5189; Wayne County; Michigan",1016,2121,462,302,340,358,659,1462,6.53966180296561
"261635190001","26163519000","Block Group 1; Census Tract 5190; Wayne County; Michigan",288,448,87,76,128,95,62,386,1.71788960494525
"261635190002","26163519000","Block Group 2; Census Tract 5190; Wayne County; Michigan",348,643,165,96,142,90,150,493,2.19882309464902
"261635191001","26163519100","Block Group 1; Census Tract 5191; Wayne County; Michigan",491,740,147,133,175,161,124,616,2.75198980218258
"261635191002","26163519100","Block Group 2; Census Tract 5191; Wayne County; Michigan",221,297,63,40,88,54,52,245,1.08548466830877
"261635192001","26163519200","Block Group 1; Census Tract 5192; Wayne County; Michigan",245,414,62,89,108,80,75,339,1.52029223089032
"261635192002","26163519200","Block Group 2; Census Tract 5192; Wayne County; Michigan",293,609,126,116,146,92,129,480,2.15001258009314
"261635192003","26163519200","Block Group 3; Census Tract 5192; Wayne County; Michigan",294,417,88,85,96,76,72,345,1.54728900179945
"261635193001","26163519300","Block Group 1; Census Tract 5193; Wayne County; Michigan",362,553,137,89,136,107,84,469,2.0895816318436
"261635193002","26163519300","Block Group 2; Census Tract 5193; Wayne County; Michigan",337,655,117,106,191,174,67,588,2.61167868018465
"261635202001","26163520200","Block Group 1; Census Tract 5202; Wayne County; Michigan",648,1035,749,90,56,61,79,956,4.26252122054488
"261635202002","26163520200","Block Group 2; Census Tract 5202; Wayne County; Michigan",415,2615,2492,47,40,15,21,2594,11.4984525456994
"261635203001","26163520300","Block Group 1; Census Tract 5203; Wayne County; Michigan",575,652,291,86,115,92,68,584,2.60171348540582
"261635203002","26163520300","Block Group 2; Census Tract 5203; Wayne County; Michigan",467,537,317,125,60,24,11,526,2.376458387224
"261635203003","26163520300","Block Group 3; Census Tract 5203; Wayne County; Michigan",634,1433,1201,101,56,37,38,1395,6.21230694073798
"261635204001","26163520400","Block Group 1; Census Tract 5204; Wayne County; Michigan",624,622,415,97,45,34,31,591,2.65313009711566
"261635204002","26163520400","Block Group 2; Census Tract 5204; Wayne County; Michigan",266,652,235,103,118,24,172,480,2.15180695114825
"261635204003","26163520400","Block Group 3; Census Tract 5204; Wayne County; Michigan",489,666,256,133,65,58,154,512,2.31592717878525
"261635207001","26163520700","Block Group 1; Census Tract 5207; Wayne County; Michigan",971,1130,589,200,161,152,28,1102,4.93848133413259
"261635207002","26163520700","Block Group 2; Census Tract 5207; Wayne County; Michigan",1250,1217,646,177,165,206,23,1194,5.33173445738912
"261635207003","26163520700","Block Group 3; Census Tract 5207; Wayne County; Michigan",421,402,269,50,30,35,18,384,1.71694516614267
"261635153002","26163515300","Block Group 2; Census Tract 5153; Wayne County; Michigan",917,1172,148,131,431,404,58,1114,4.89890531138533
"261635152001","26163515200","Block Group 1; Census Tract 5152; Wayne County; Michigan",347,708,147,128,159,176,98,610,2.72528758597704
"261635152002","26163515200","Block Group 2; Census Tract 5152; Wayne County; Michigan",317,607,111,77,157,165,97,510,2.25905682556835
"261635153001","26163515300","Block Group 1; Census Tract 5153; Wayne County; Michigan",989,1536,555,287,282,201,211,1325,5.94326025059542
"261635154001","26163515400","Block Group 1; Census Tract 5154; Wayne County; Michigan",263,591,90,161,107,110,123,468,2.12466131024359
"261635154002","26163515400","Block Group 2; Census Tract 5154; Wayne County; Michigan",462,767,240,141,130,149,107,660,2.95926568141027
"261635157001","26163515700","Block Group 1; Census Tract 5157; Wayne County; Michigan",1429,1766,551,278,358,476,103,1663,7.40969438159498
"261635157002","26163515700","Block Group 2; Census Tract 5157; Wayne County; Michigan",1512,1679,327,186,486,624,56,1623,7.15911492632937
"261635157003","26163515700","Block Group 3; Census Tract 5157; Wayne County; Michigan",965,1173,170,114,324,523,42,1131,4.98027613518181
"261635160001","26163516000","Block Group 1; Census Tract 5160; Wayne County; Michigan",507,1239,329,219,226,148,317,922,4.13908621244275
"261635418002","26163541800","Block Group 2; Census Tract 5418; Wayne County; Michigan",676,1207,302,229,272,138,266,941,4.22008306749964
"261635421001","26163542100","Block Group 1; Census Tract 5421; Wayne County; Michigan",943,2388,561,448,351,411,617,1771,7.9730864231398
"261635421002","26163542100","Block Group 2; Census Tract 5421; Wayne County; Michigan",1014,2159,424,436,453,335,511,1648,7.40764146662586
"261635422001","26163542200","Block Group 1; Census Tract 5422; Wayne County; Michigan",858,1998,468,368,331,312,519,1479,6.65005895414086
"261635422002","26163542200","Block Group 2; Census Tract 5422; Wayne County; Michigan",779,1646,343,297,288,348,370,1276,5.72367689746652
"261635423001","26163542300","Block Group 1; Census Tract 5423; Wayne County; Michigan",367,858,217,161,149,140,191,667,2.99675706252939
"261635423002","26163542300","Block Group 2; Census Tract 5423; Wayne County; Michigan",679,1397,361,274,280,158,324,1073,4.82364087483212
"261635424001","26163542400","Block Group 1; Census Tract 5424; Wayne County; Michigan",430,938,223,196,142,137,240,698,3.15210968747658
"261635424002","26163542400","Block Group 2; Census Tract 5424; Wayne County; Michigan",682,1713,421,314,248,242,488,1225,5.51782966338187
